ACCIPITRIFORMES,AEGOTHELIFORMES,ANSERIFORMES,APODIFORMES,APTERYGIFORMES,BUCEROTIFORMES,CAPRIMULGIFORMES,CARIAMIFORMES,CASUARIIFORMES,CATHARTIFORMES,CHARADRIIFORMES,CICONIIFORMES,COLIIFORMES,COLUMBIFORMES,CORACIIFORMES,CUCULIFORMES,EURYPYGIFORMES,FALCONIFORMES,GALBULIFORMES,GALLIFORMES,GAVIIFORMES,GRUIFORMES,LEPTOSOMIFORMES,MESITORNITHIFORMES,MUSOPHAGIFORMES,NYCTIBIIFORMES,OPISTHOCOMIFORMES,OTIDIFORMES,PASSERIFORMES,PELECANIFORMES,PHAETHONTIFORMES,PHOENICOPTERIFORMES,PICIFORMES,PODARGIFORMES,PODICIPEDIFORMES,PSITTACIFORMES,PROCELLARIIFORMES,PTEROCLIFORMES,RHEIFORMES,SPHENISCIFORMES,STEATORNITHIFORMES,STRIGIFORMES,STRUTHIONIFORMES,SULIFORMES,TINAMIFORMES,TROGONIFORMES,OTHER
Accipitridae,Aegothelidae,Anatidae,Apodidae,Apterygidae,Bucerotidae,Caprimulgidae,Cariamidae,Casuariidae,Cathartidae,Alcidae,Ciconiidae,Coliidae,Columbidae,Alcedinidae,Cuculidae,Eurypygidae,Falconidae,Bucconidae,Cracidae,Gaviidae,Aramidae,Leptosomidae,Mesitornithidae,Musophagidae,Nyctibiidae,Opisthocomidae,Otididae,Acanthisittidae,Ardeidae,Phaethontidae,Phoenicopteridae,Capitonidae,Podargidae,Podicipedidae,Cacatuidae,Diomedeidae,Pteroclidae,Rheidae,Spheniscidae,Steatornithidae,Strigidae,Struthionidae,Anhingidae,Tinamidae,Trogonidae,Other
Pandionidae,Other,Anhimidae,Hemiprocnidae,Other,Bucorvidae,Other,Other,Other,Other,Burhinidae,Other,Other,Other,Brachypteraciidae,Other,Rhynochetidae,Other,Galbulidae,Megapodiidae,Other,Gruidae,Other,Other,Other,Other,Other,Other,Acanthizidae,Balaenicipitidae,Other,Other,Indicatoridae,Other,Other,Psittacidae,Hydrobatidae,Other,Other,Other,Other,Tytonidae,Other,Fregatidae,Other,Other,
Sagittariidae,,Anseranatidae,Trochilidae,,Phoeniculidae,,,,,Charadriidae,,,,Coraciidae,,Other,,Other,Numididae,,Heliornithidae,,,,,,,Acrocephalidae,Pelecanidae,,,Lybiidae,,,Psittaculidae,Oceanitidae,,,,,Other,,Phalacrocoracidae,,,
Other,,Other,Other,,Upupidae,,,,,Chionidae,,,,Meropidae,,,,,Odontophoridae,,Psophiidae,,,,,,,Aegithalidae,Scopidae,,,Megalaimidae,,,Strigopidae,Procellariidae,,,,,,,Sulidae,,,
,,,,,Other,,,,,Dromadidae,,,,Momotidae,,,,,Phasianidae,,Rallidae,,,,,,,Aegithinidae,Threskiornithidae,,,Picidae,,,Other,Other,,,,,,,Other,,,
,,,,,,,,,,Glareolidae,,,,Todidae,,,,,Other,,Sarothruridae,,,,,,,Alaudidae,Other,,,Ramphastidae,,,,,,,,,,,,,,
,,,,,,,,,,Haematopodidae,,,,Other,,,,,,,Other,,,,,,,Artamidae,,,,Semnornithidae,,,,,,,,,,,,,,
,,,,,,,,,,Ibidorhynchidae,,,,,,,,,,,,,,,,,,Atrichornithidae,,,,Other,,,,,,,,,,,,,,
,,,,,,,,,,Jacanidae,,,,,,,,,,,,,,,,,,Bernieridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Laridae,,,,,,,,,,,,,,,,,,Bombycillidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pedionomidae,,,,,,,,,,,,,,,,,,Buphagidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pluvianellidae,,,,,,,,,,,,,,,,,,Calcariidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pluvianidae,,,,,,,,,,,,,,,,,,Callaeidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Recurvirostridae,,,,,,,,,,,,,,,,,,Calyptomenidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Rostratulidae,,,,,,,,,,,,,,,,,,Calyptophilidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Scolopacidae,,,,,,,,,,,,,,,,,,Campephagidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Stercorariidae,,,,,,,,,,,,,,,,,,Cardinalidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Thinocoridae,,,,,,,,,,,,,,,,,,Certhiidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Turnicidae,,,,,,,,,,,,,,,,,,Chaetopidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,Chloropseidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cinclidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cinclosomatidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cisticolidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climacteridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cnemophilidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conopophagidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corcoracidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corvidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cotingidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dasyornithidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dicaeidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dicruridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donacobiidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dulidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elachuridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emberizidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erythrocercidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estrildidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eulacestomatidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eupetidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurylaimidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falcunculidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formicariidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fringillidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furnariidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grallariidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirundinidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyliidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyliotidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hylocitreidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypocoliidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icteridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icteriidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ifritidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irenidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laniidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leiothrichidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locustellidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machaerirhynchidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macrosphenidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malaconotidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maluridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melampittidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanocharitidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanopareiidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meliphagidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menuridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitrospingidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modulatricidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohoidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohouidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monarchidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motacillidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muscicapidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nectariniidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neosittidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nesospingidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicatoridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notiomystidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onychorhynchidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oreoicidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriolidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthonychidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxyruncidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachycephalidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panuridae,,,,,,,,,,,,,,,,,,
